numero,cor,servico,cliente,responsavel,data,cidade,m2Aprox,4mm,3mm
662.00,,revestimento,Transportadora Salvan,,23/04/2016,joinville,792.60,214000.20,0.00
663.00,branca,revestimento,Camilotti,Cristiane,42465,joinville,0.00,9810.00,0.00
666.00,amarelo,revestimento,Dacoregio,,16/05/16,joinville,0.00,2272.00,2047.62
668.00,mogno,revestimento,Franklin Eletric,,42527,joinville,0.00,63107.28,46593.78
669.30,azul,revestimento,Transpotadora Salvan,Construtora Hora Certa,14/11/2016,joinville,224.80,67440.00,0.00
670.00,,revestimento,Copapel,carolina freitas,19/05/2016,joinville,0.00,53520.00,0.00
671.00,,,i move line,,27/06/2016,joinville,0.00,4275.00,3562.00
673.00,preto,revestimento,Solaris Films,Jeferson,42588,joinville,0.00,0.00,2906.00
674.00,grafite,revestimento,Sandra Bonetti,,16/06/2016,joinville,0.00,0.00,2689.80
679.00,,revestimento,kretzer móveis,,22/07/2016,joinville,0.00,27115.00,21965.00
680.00,"verde,roxo",Revestimento,Pety Paio,,28/07/2016,joinville,0.00,9735.00,8255.28
681.00,,Revestimento,Moinho Atacadista,,42376,joinville,0.00,42269.76,36880.25
682.00,,Revestimento,Milena Casagrande,,42528,joinville,0.00,52750.17,39606.89
717.00,azul,revestimento,Transportadora Salvan,Wallace CHC,42471,joinville,224.80,60696.00,0.00
718.20,,,Condominio Albatroz,,42654,joinville,0.00,0.00,4080.39
719.00,,,GF esquadrias,,42562,joinville,1677.50,503250.00,419375.00
720.00,,revestimento,Gastro Clinica Guzatti,,42624,joinville,0.00,27000.00,22500.00
726.00,,revestimento,Marcelo Felipe,,14/12/2016,joinville,0.00,31485.00,26857.00
732.00,,revestimento,Assis Estruturas Metalicas,,13/01/2017,joinville,280.00,0.00,78400.00
734.00,,revestimento,Restaurante Mar de Fora,,18/01/2017,joinville,0.00,24114.12,0.00
739.00,,revestimento,LK Arquitetura,,22/02/2017,joinville,46.00,0.00,17020.00
739.00,,revestimento,LK Arquitetura,,22/02/2017,joinville,70.00,0.00,25900.00
741.00,,revestimento,Rudinick,Assis Estruturas Metalicas,23/02/2017,joinville,217.50,65250.00,56500.00
742.00,,revestimento,UNIMED,Walter,23/02/2017,joinville,55.00,16500.00,14300.00
742.20,,revestimento,UNIMED,Assis Estruturas Metalicas,23/03/2017,joinville,55.00,0.00,14300.00
742.20,,revestimento,UNIMED,Assis Estruturas Metalicas,23/03/2017,joinville,22.50,0.00,5850.00
743.00,,revestimento,Construtora Correia,,23/02/2017,joinville,13.00,0.00,3380.00
744.00,,revestimento,Oceanica,,28/02/2017,joinville,123.00,24780.00,20625.00
744.00,,revestimento,Oceanica,,28/02/2017,joinville,82.25,38932.00,34875.00
745.00,,revestimento,Construtora Correia,,28/02/17,joinville,0.00,0.00,3380.00
749.00,,revestimento,Assis Estruturas Metalicas,,23/03/2017,joinville,1511.75,489112.50,0.00
751.00,,revestimento,BV mac,,28/3/16,joinville,3.24,0.00,1026.00
753.00,,revestimento,Perville,ENG Fernanda,31/03/2017,joinville,24.40,0.00,5612.00
755.00,,revestimento,Laboratorio KG,,42890,joinville,108.30,32145.00,0.00
759.00,,revestimento,,Ability Construtora,42772,joinville,977.50,0.00,260600.00
760.00,,revestimento,Fabio Perini,ENG TIAGO,42922,joinville,36.60,0.00,7897.00
763.00,,revestimento,Maryella campos,,22/06/2017,joinville,150.00,45000.00,37500.00
766.00,,revestimento,CEFI,,42862,joinville,0.00,0.00,8990.00
767.00,,revestimento,Fabri Ritz,,42862,joinville,18.30,0.00,4575.00
768.00,,revestimento,Costa Azul,,42862,joinville,122.00,36300.00,30500.00
770.00,,revestimento,Império do sol,,42893,joinville,115.00,34500.00,0.00
773.00,,revestimento,Bonja Bilingue,Metalúrgica Assis,26/07/2017,joinville,0.00,8500.00,7780.00
774.00,,revestimento,UNIMED,Metalúrgica Assis,16/08/2017,joinville,220.00,65800.00,0.00
774.20,,revestimento,UNIMED,Metalúrgica Assis,24/08/2017,joinville,220.00,59325.00,0.00
775.00,,revestimento,Moraes Escapamentos,,42802,joinville,0.00,0.00,8375.00
776.00,,revestimento,Posto Aventureiro,,42802,joinville,0.00,0.00,30000.00
778.00,,revestimento,Confominio Quinte Essence,Eng Alysson Valenza,31/08/2017,joinville,112.50,31500.00,28125.00
779.00,,revestimento,Escola Internacional Unisociesc,Metalúrgica Assis,42864,joinville,1370.00,431550.00,0.00
780.00,,revestimento,ED.Dona Rosinha,Zermiani Schafer Arquitetura,42864,joinville,140.00,39048.80,0.00
781.00,,revestimento,Geronimo,Ability,42864,joinville,0.00,0.00,16250.00
782.00,,revestimento,Condominio Vila Marques,Julio,18/09/17,joinville,0.00,13520.00,12026.00
783.00,,revestimento,Center Informática,Ademir,22/09/2017,joinville,0.00,0.00,2496.00
786.00,,revestimento,Espaço Café,Rosane,42835,joinville,0.00,0.00,7851.00
787.00,,revestimento,Escola Internacional Unisociesc,Erico,42835,joinville,1370.00,431550.00,0.00
