,cidade,m2Aprox,4mm,3mm,$4mm,$3mm
127,joinville,6.682720951610254,1990.0,1714.1776311018618,297.78289627976966,256.5089345364357
128,joinville,57.01555786518851,16978.257954102635,14625.0,297.78289627976966,256.5089345364357
129,joinville,13.254898922505364,3947.082191039245,3400.0,297.78289627976966,256.5089345364357
130,joinville,11.63,3463.2150837337213,2820.0,297.78289627976966,256.5089345364357
131,joinville,70.6018292607565,21024.01719991786,18110.0,297.78289627976966,256.5089345364357
132,joinville,25.18613423973714,7500.0,6460.468458926615,297.78289627976966,256.5089345364357
133,joinville,17.7,5270.757264151923,4799.0,297.78289627976966,256.5089345364357
134,joinville,56.67443914291815,16876.678633009713,14537.5,297.78289627976966,256.5089345364357
135,joinville,95.12339226739144,29280.0,24400.0,297.78289627976966,256.5089345364357
136,joinville,29.57791709560241,8375.0,7587.0,297.78289627976966,256.5089345364357
137,joinville,1790.0,537000.0,501000.0,297.78289627976966,256.5089345364357
138,joinville,624.0,187200.0,160061.57515073585,297.78289627976966,256.5089345364357
139,joinville,358.0,107400.0,91830.19856404397,297.78289627976966,256.5089345364357
140,joinville,21.44174825699397,6384.985897269367,5500.0,297.78289627976966,256.5089345364357
31,florianopolis,165.0,57750.0,40425.0,335.3263888888889,245.0
32,florianopolis,26.839522024561475,9000.0,6575.682896017562,335.3263888888889,245.0
33,florianopolis,71.1,24885.0,17419.5,335.3263888888889,245.0
34,florianopolis,2400.0,734350.0,588000.0,335.3263888888889,245.0
22,curitiba,1160.65,316439.0,321655.18351475114,290.8197346314565,277.13366089238883
23,curitiba,1708.0,527772.0,439810.0,290.8197346314565,277.13366089238883
24,curitiba,662.0,192522.6643260242,186600.0,290.8197346314565,277.13366089238883
25,curitiba,1086.0,315830.2318097618,293220.0,290.8197346314565,277.13366089238883
26,curitiba,346.0,100623.62818248395,93420.0,290.8197346314565,277.13366089238883
27,curitiba,208.0,60490.504803342956,66690.0,290.8197346314565,277.13366089238883
28,curitiba,247.0,71832.47445396976,66690.0,290.8197346314565,277.13366089238883
29,curitiba,432.1,125663.20733425237,116640.0,290.8197346314565,277.13366089238883
30,curitiba,49.32637903306906,14345.084460727785,13670.0,290.8197346314565,277.13366089238883
15,blumenau,180.0,54000.0,45900.0,323.75,255.33333333333334
16,blumenau,11.945169712793733,3867.248694516971,3050.0,323.75,255.33333333333334
17,blumenau,405.63,113576.4,99784.98,323.75,255.33333333333334
18,blumenau,240.0,77700.0,63600.0,323.75,255.33333333333334
19,blumenau,60.94738903394256,19046.26,15561.9,323.75,255.33333333333334
20,blumenau,60.94738903394256,19731.7171997389,15561.9,323.75,255.33333333333334
0,balneario,49.425513513513515,16001.51,11614.995675675676,323.75,235.0
1,balneario,122.72296525096525,39731.56,28839.896833976833,323.75,235.0
2,balneario,50.965250965250966,16500.0,15125.0,323.75,235.0
3,balneario,17.952123552123552,5812.0,4810.0,323.75,235.0
4,balneario,2527.5,973087.5,593962.5,323.75,235.0
5,balneario,123.41776061776062,39956.5,29003.173745173746,323.75,235.0
6,balneario,49.37040926640927,15983.67,11602.046177606178,323.75,235.0
7,balneario,90.0,27450.0,21150.0,323.75,235.0
8,balneario,432.0,131760.0,101520.0,323.75,235.0
9,balneario,396.04,118812.0,93069.40000000001,323.75,235.0
10,balneario,56.52509652509652,18300.0,13283.397683397683,323.75,235.0
11,balneario,2020.0,653975.0,474700.0,323.75,235.0
12,balneario,191.0,61836.25,44885.0,323.75,235.0
13,balneario,1591.0,515086.25,373885.0,323.75,235.0
14,balneario,1063.0,344146.25,249805.0,323.75,235.0
38,jaragua,57.0,15960.0,13800.0,280.0,245.0
39,jaragua,65.68532142857143,18391.89,15455.84,280.0,245.0
40,jaragua,71.14285714285714,19920.0,17430.0,280.0,245.0
41,jaragua,26.990571428571428,7557.36,6612.69,280.0,245.0
42,jaragua,35.214285714285715,9860.0,8500.0,280.0,245.0
43,jaragua,150.0,42000.0,36750.0,280.0,245.0
44,jaragua,150.0,42000.0,37500.0,280.0,245.0
45,jaragua,40.0,11200.0,9600.0,280.0,245.0
21,canoinhas,197.19076923076923,64087.0,59019.0,325.0,250.0
35,ibirama,84.46153846153847,27450.0,21115.384615384617,325.0,250.0
36,itajai,262.0,91700.0,65500.0,325.0,250.0
37,itapocu,18.748,6093.1,4687.0,325.0,250.0
141,lages,62.30769230769231,20250.0,18419.0,325.0,250.0
142,laguna,104.0,31200.0,26000.0,325.0,250.0
143,massaranduba,161.53846153846155,52500.0,43750.0,325.0,250.0
144,navegantes,52.62769230769231,17104.0,13830.89,325.0,250.0
145,parana,76.15384615384616,24750.0,20625.0,325.0,250.0
146,penha,22.523076923076925,7320.0,6100.0,325.0,250.0
147,s bento,71.53646153846154,23249.35,19439.35,325.0,250.0
148,s bento,16.326523076923078,5306.12,4081.6307692307696,325.0,250.0
149,timbo,86.3076923076923,28050.0,23375.0,325.0,250.0
